id,file_name,file_index,img_type,time_utc,minute_offsets,episode_id,event_id,event_type,llcrnrlat,llcrnrlon,urcrnrlat,urcrnrlon,proj,size_x,size_y,height_m,width_m,data_min,data_max,pct_missing
S777840,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,21,vil,8/31/2018 21:57,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,129841,777840,Thunderstorm Wind,29.63809616,-86.38308746,32.551791,-81.8427367,#NAME?,384,384,384000,384000,0,254,0
S788437,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,22,vil,10/7/2018 20:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,131824,788437,Funnel Cloud,37.35862799,-93.56250387,40.5452854,-88.79660769,#NAME?,384,384,384000,384000,0,254,0
S773812,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,23,vil,7/15/2018 18:02,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,129100,773812,Thunderstorm Wind,38.36346174,-82.85716749,41.06072573,-77.53712668,#NAME?,384,384,384000,384000,0,254,0
S781948,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,24,vil,8/16/2018 21:10,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,130638,781948,Thunderstorm Wind,28.77646482,-85.28887589,31.64782714,-80.76202091,#NAME?,384,384,384000,384000,0,254,0
S782058,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,25,vil,9/19/2018 22:37,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,130669,782058,Flood,28.88343467,-83.92595421,31.69367828,-79.34660477,#NAME?,384,384,384000,384000,0,254,0
S766360,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,26,vil,8/18/2018 21:12,-122:-117:-112:-107:-102:-97:-92:-87:-82:-77:-72:-67:-62:-57:-52:-47:-42:-37:-32:-27:-22:-17:-12:-7:-2:3:8:13:18:23:28:33:38:43:48:53:58:63:68:73:78:83:88:93:98:103:108:113:118,127769,766360,Thunderstorm Wind,34.7409858,-106.6813545,38.42894471,-102.686626,#NAME?,384,384,384000,384000,0,254,0
S775296,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,27,vil,9/19/2018 20:35,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,129396,775296,Hail,36.79486949,-80.95510569,39.4100675,-75.69519095,#NAME?,384,384,384000,384000,0,254,0
S788921,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,28,vil,10/9/2018 17:10,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,131601,788921,Thunderstorm Wind,34.47327457,-97.56384708,37.82912437,-93.16925499,#NAME?,384,384,384000,384000,0,245,0
S770190,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,29,vil,7/29/2018 21:40,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,128386,770190,Hail,42.22109226,-105.6826469,45.88023358,-101.197143,#NAME?,384,384,384000,384000,0,254,0
S762267,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,30,vil,7/26/2018 23:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,127193,762267,Hail,43.68576157,-111.5617329,47.55089135,-107.3461888,#NAME?,384,384,384000,384000,0,254,0
S774496,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,31,vil,7/30/2018 18:40,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,129247,774496,Flash Flood,39.19172658,-81.58754522,41.82131166,-76.13736252,#NAME?,384,384,384000,384000,0,231,0
S784261,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,32,vil,9/15/2018 7:05,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,131103,784261,Thunderstorm Wind,45.08848131,-94.87153687,48.31562648,-89.49608861,#NAME?,384,384,384000,384000,0,254,0
S774267,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,33,vil,9/17/2018 20:58,-118:-113:-108:-103:-98:-93:-88:-83:-78:-73:-68:-63:-58:-53:-48:-43:-38:-33:-28:-23:-18:-13:-8:-3:2:7:12:17:22:27:32:37:42:47:52:57:62:67:72:77:82:87:92:97:102:107:112:117:122,129199,774267,Hail,27.83937044,-92.64747512,31.02423854,-88.42485268,#NAME?,384,384,384000,384000,0,254,0
S799001,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,34,vil,12/1/2018 22:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:68:75:80:85:90:95:100:105:110:115:120,133553,799001,Funnel Cloud,43.12147326,-124.5895603,47.35065867,-121.298291,#NAME?,384,384,384000,384000,0,169,0
S785304,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,35,vil,9/1/2018 23:05,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,131250,785304,Thunderstorm Wind,33.13436773,-103.8851998,36.72644344,-99.84021331,#NAME?,384,384,384000,384000,0,254,0
S781633,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,36,vil,8/12/2018 19:40,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,130591,781633,Lightning,28.78674474,-83.87791894,31.59553059,-79.30277474,#NAME?,384,384,384000,384000,0,254,0
S772561,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,37,vil,7/4/2018 20:18,-118:-113:-108:-103:-98:-93:-88:-83:-78:-73:-68:-63:-58:-53:-48:-43:-38:-33:-28:-23:-18:-13:-8:-3:2:7:12:17:22:27:32:37:42:47:52:57:62:67:72:77:82:87:92:97:102:107:112:117:122,128819,772561,Thunderstorm Wind,42.22474574,-94.26052648,45.4298502,-89.13008602,#NAME?,384,384,384000,384000,0,254,0
S770037,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,38,vil,8/24/2018 14:25,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,128361,770037,Hail,43.34536107,-95.97387418,46.6223177,-90.83356855,#NAME?,384,384,384000,384000,0,254,0
S791686,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,39,vil,12/1/2018 4:49,-119:-114:-109:-104:-99:-94:-89:-84:-79:-74:-69:-64:-59:-54:-49:-44:-39:-34:-29:-24:-19:-14:-9:-4:1:6:11:16:21:26:31:36:41:46:51:56:61:66:71:76:81:86:91:96:101:106:111:116:121,132310,791686,Thunderstorm Wind,33.74932852,-96.94073351,37.08250214,-92.56228507,#NAME?,384,384,384000,384000,0,254,0
S767590,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,40,vil,8/20/2018 2:48,-118:-113:-108:-103:-98:-93:-88:-83:-78:-73:-68:-63:-58:-53:-48:-43:-38:-33:-28:-23:-18:-13:-8:-3:2:7:12:17:22:27:32:37:42:47:52:57:62:67:72:77:82:87:92:97:102:107:112:117:122,127978,767590,Thunderstorm Wind,33.351598,-94.87956362,36.60414858,-90.43841737,#NAME?,384,384,384000,384000,0,254,0
S771957,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,41,vil,7/3/2018 0:51,-121:-116:-111:-106:-101:-96:-91:-86:-81:-76:-71:-66:-61:-56:-51:-46:-41:-36:-31:-26:-21:-16:-11:-6:-1:4:9:14:19:24:29:34:39:44:49:54:59:64:69:74:79:84:89:94:99:104:109:114:119,128708,771957,Thunderstorm Wind,29.2268543,-85.27025798,32.09439606,-80.71599603,#NAME?,384,384,384000,384000,0,254,0
S787572,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,42,vil,9/2/2018 20:25,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,131654,787572,Thunderstorm Wind,41.24777049,-92.68712737,44.38649247,-87.5630844,#NAME?,384,384,384000,384000,0,254,0
S779911,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,43,vil,8/28/2018 0:25,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,130265,779911,Thunderstorm Wind,45.5965242,-91.24510338,48.65907115,-85.60527023,#NAME?,384,384,384000,384000,0,254,0
S789514,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,44,vil,10/29/2018 22:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,131963,789514,Tornado,42.60626326,-124.5688346,46.83262896,-121.2917018,#NAME?,384,384,384000,384000,0,199,0
S773138,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,45,vil,7/10/2018 16:13,-118:-113:-108:-103:-98:-93:-88:-83:-78:-73:-68:-63:-58:-53:-48:-43:-38:-33:-28:-23:-18:-13:-8:-3:2:7:12:17:22:27:32:37:42:47:52:57:62:67:72:77:82:87:92:97:102:107:112:117:122,128937,773138,Hail,41.43444815,-97.400486,44.77310087,-92.50670039,#NAME?,384,384,384000,384000,0,254,0
S778850,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,46,vil,8/6/2018 20:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,129967,778850,Hail,36.90008286,-106.7443819,40.59091784,-102.644045,#NAME?,384,384,384000,384000,0,254,0
S774130,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,47,vil,7/30/2018 1:20,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,129169,774130,Thunderstorm Wind,33.14232614,-102.9608,36.70167514,-98.87487789,#NAME?,384,384,384000,384000,0,254,0
S766543,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,48,vil,8/20/2018 19:55,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,127828,766543,Thunderstorm Wind,29.12017324,-86.4466495,32.03987494,-81.93922987,#NAME?,384,384,384000,384000,0,248,0
S802216,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,49,vil,12/24/2018 15:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,134012,802216,Heavy Rain,38.28047257,-122.289847,42.43532586,-118.988913,#NAME?,384,384,384000,384000,0,227,0
S798658,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,50,vil,12/18/2018 21:50,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,133456,798658,Tornado,45.37943397,-124.2987619,49.61284294,-120.9103676,#NAME?,384,384,384000,384000,0,199,0
S772799,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,51,vil,8/23/2018 22:00,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,128847,772799,Hail,41.90333273,-104.9655095,45.535947,-100.4601992,#NAME?,384,384,384000,384000,0,254,0
S796456,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,52,vil,12/1/2018 6:55,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,132889,796456,Thunderstorm Wind,35.25702153,-95.51128015,38.52960951,-90.97801652,#NAME?,384,384,384000,384000,0,254,0
S774419,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,53,vil,7/10/2018 20:55,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,129236,774419,Thunderstorm Wind,42.2665488,-74.78650004,44.51702403,-68.7276228,#NAME?,384,384,384000,384000,0,254,0
S754937,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,54,vil,7/5/2018 20:30,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,125923,754937,Flash Flood,34.82731482,-107.4181581,38.54011146,-103.4543038,#NAME?,384,384,384000,384000,0,254,0
S776527,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,55,vil,8/1/2018 3:25,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,129589,776527,Flood,36.72249483,-80.83379985,39.33227151,-75.57528963,#NAME?,384,384,384000,384000,0,241,0
S790513,vil/2018/SEVIR_VIL_STORMEVENTS_2018_0701_1231.h5,56,vil,10/11/2018 21:10,-120:-115:-110:-105:-100:-95:-90:-85:-80:-75:-70:-65:-60:-55:-50:-45:-40:-35:-30:-25:-20:-15:-10:-5:0:5:10:15:20:25:30:35:40:45:50:55:60:65:70:75:80:85:90:95:100:105:110:115:120,132103,790513,Tornado,35.83671274,-80.73872964,38.44830784,-75.55114666,#NAME?,384,384,384000,384000,0,251,0
